DEFLECTION,PSF,compactness,number of room, average room area,occlusivity,visible area,mean radial
9.165557,27.097136,0.01859,1,835.4,4767.071177,334793.764259,310.608769
9.88947,25.493882,0.017581,3,267.24,5055.105176,333050.093009,309.865036
8.788722,27.401185,0.018239,3,244.84,4868.06483,334091.381463,310.259864
9.647612,24.967445,0.018411,6,127.2,4789.716721,334844.511155,310.669342
9.718549,25.185046,0.019046,1,805.6,4624.008614,335550.37279,310.85524
10.012363,27.666327,0.018611,4,206.34,4762.587558,334852.374924,310.609821
10.024087,25.626697,0.018391,2,356.34,4804.595726,333264.793495,309.337835
10.15714,28.619878,0.018248,4,214.03,4843.034216,334367.767888,310.453395
10.574176,26.083684,0.017838,4,184.59,4988.09098,333166.324102,309.769796
8.883752,26.798428,0.017991,4,201.33,4921.613387,333143.980022,309.575969
9.860806,26.855142,0.017919,2,419.54,4932.774164,333359.774285,309.798452
9.580846,26.352711,0.018642,2,387.54,4720.367431,334895.636653,310.539147
9.492858,28.86017,0.018085,3,278.013333,4878.904577,333276.182779,309.592884
9.469042,26.867461,0.018522,2,399.74,4780.376478,335100.506641,310.883367
9.989318,26.919915,0.018709,3,279.413333,4719.46936,334774.121424,310.435088
9.650049,27.191445,0.018638,4,197.33,4727.984107,334098.136104,309.889249
10.102683,28.832651,0.018076,2,429.14,4935.809579,333707.785907,310.130224
9.981091,28.053174,0.018085,2,420.04,4904.672139,333169.945945,309.565586
9.743236,26.416638,0.018182,1,889.56,4865.958142,333894.869347,310.078732
8.384978,26.657269,0.018373,2,407.88,4800.903884,333902.169386,309.898655
9.926095,27.215936,0.01873,1,833.4,4711.05026,334529.570003,310.209254
9.291661,24.628303,0.018307,6,122.74,4821.602224,334648.046365,310.60885
9.565677,26.20673,0.018306,5,162.12,4837.956075,334011.39919,310.108145
9.468093,27.566521,0.018226,2,389.54,4866.991647,333298.738407,309.571797
9.650774,25.262349,0.018119,5,153.44,4861.439648,333546.106584,309.776056
8.885196,27.844555,0.01856,4,213.24,4741.364978,335392.337778,311.059393
7.352934,28.783995,0.018056,4,193.79,4911.238035,333599.62371,309.945131
9.677896,24.888366,0.018387,2,422.3,4799.320911,333395.388388,309.4662
8.82854,24.95003,0.017931,3,254.306667,4917.838979,332500.243488,309.012613
9.047448,26.125642,0.01786,2,424.74,4957.066722,333829.891821,310.290169
8.6069,26.629657,0.01776,4,203.78,4978.931441,333257.353719,309.856925
9.561314,24.73426,0.017794,1,805.6,4987.487239,332597.101349,309.278831
9.814671,25.564291,0.018506,3,258.906667,4765.387131,334329.402022,310.17164
8.711099,24.930846,0.018185,2,423.32,4860.629818,334360.946624,310.458484
10.440275,26.999889,0.018194,5,160.04,4871.193243,334449.929912,310.595053
8.325676,25.912691,0.018503,2,398.14,4791.195162,334244.998116,310.172432
9.331423,26.339677,0.018499,3,250.506667,4781.808285,335392.968126,311.146304
10.090884,27.654449,0.018322,2,413.44,4829.268453,335041.973441,310.982785
9.370022,26.103403,0.018717,1,904.36,4695.112689,335472.336179,310.988272
9.401777,27.162837,0.018581,3,270.84,4760.035653,335203.053841,310.917761
9.442322,28.534995,0.018201,1,908.76,4851.327692,334028.501685,310.162087
9.976287,27.19664,0.051662,3,271.56,4099.532184,334076.240491,262.09399
9.188255,26.866764,0.601152,2,397.42,4172.59652,333898.195794,260.758425
8.869855,25.387293,0.775448,3,256.64,4186.246193,334731.896347,272.448195
8.664233,25.996395,0.018629,6,121.106667,4738.001188,334930.47322,310.622081
9.409796,27.139799,0.314894,1,846,4079.313586,334364.63634,263.720129
9.488165,27.119596,0.017266,2,414.0,5133.067805,331657.039968,308.859168
10.115583,26.364586,0.018048,4,181.19,4900.161607,334193.650078,310.42451
10.599257,26.800237,0.017905,3,271.373333,4951.856058,333448.877764,309.922138
9.294453,26.573828,0.01863,2,407.34,4738.915556,334735.916986,310.469635
7.812775,27.132748,0.018353,6,126.24,4823.171414,334582.696623,310.553326
9.321452,26.901381,0.017405,1,888.2,5110.212764,332732.283678,309.760079
8.040264,25.553114,0.018014,2,392.14,4919.407403,333632.773836,309.996523
9.184883,25.018543,0.017492,4,199.44,5091.865383,332509.028545,309.4946
8.829818,25.450822,0.018686,3,269.84,4731.029769,335168.29195,310.811034
10.500579,25.865221,0.018145,1,842.4,4872.102396,334386.394299,310.521206
10.271099,25.360461,0.01819,2,427.12,4855.256465,334314.854947,310.401106
10.090504,26.561239,0.019111,1,805.84,4629.954011,336618.074054,311.788225
9.423721,25.557605,0.017834,4,191.08,4948.606417,332389.756463,308.997289
10.036938,26.643949,0.018319,2,398.22,4819.917635,333622.212469,309.708355
9.307608,27.370508,0.01898,1,959.96,4628.77924,335936.45013,311.217195
8.008581,25.44124,0.330379,2,417.82,4175.8655,333974.923466,263.241798
7.854236,26.36495,0.307478,3,269.826667,4165.548872,334058.679234,261.8991
9.448836,28.011289,0.049996,2,423.34,4107.208602,335672.333444,264.888896
10.04595,27.288081,0.018374,1,798.04,4816.425142,334320.024632,310.315248
8.738482,28.169225,0.018367,2,406.42,4822.009764,334426.954105,310.419196
9.609117,27.940408,0.017833,1,844.84,4975.252578,333905.506213,310.396636
8.807926,25.340136,0.017864,2,408.12,4959.87502,333480.584482,309.967385
10.018277,26.122671,0.018553,2,413.14,4768.02374,334570.576292,310.394085
9.170321,25.355221,0.018593,4,187.39,4745.702405,335138.923648,310.812242
9.364058,26.629728,0.01854,6,112.64,4754.834531,335045.919074,310.784201
9.994479,27.256883,0.018623,2,402.34,4723.000793,334888.864752,310.540124
